## [iView]
## Converted from:	F:\transfer\MAY25 RAW DATA\5_1\052513_06-eye_data.idf
## Date:	25.05.2013 21:55:14
## Version:	IDF Converter 3.0.14
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	59965                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	052513_06                                                                                                                                                                                                                                                       
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(335;210)
## Calibration Point 1:	Position(1343;840)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, QUALITY, MSG
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	Latency	L Validity	R Validity	Pupil Confidence	Aux1
10637178041	SMP	1	0.00	0.00	0.00	0.00	0	1495	0	0	1	
10637186446	SMP	1	0.00	0.00	0.00	0.00	0	1445	0	0	1	
10637194658	SMP	1	0.00	0.00	0.00	0.00	0	1635	0	0	1	
10637203036	SMP	1	0.00	0.00	0.00	0.00	0	1902	0	0	1	
10637211440	SMP	1	0.00	0.00	0.00	0.00	0	1540	0	0	1	
10637219776	SMP	1	0.00	0.00	0.00	0.00	0	2091	0	0	1	
10637227993	SMP	1	0.00	0.00	0.00	0.00	0	1773	0	0	1	
10637236368	SMP	1	0.00	0.00	0.00	0.00	0	1908	0	0	1	
10637244736	SMP	1	0.00	0.00	0.00	0.00	0	1961	0	0	1	
10637252998	SMP	1	0.00	0.00	0.00	0.00	0	1917	0	0	1	
10637261350	SMP	1	0.00	0.00	0.00	0.00	0	1762	0	0	1	
10637269735	SMP	1	0.00	0.00	0.00	0.00	0	1989	0	0	1	
10637278111	SMP	1	0.00	0.00	0.00	0.00	0	1748	0	0	1	
10637286418	SMP	1	0.00	0.00	0.00	0.00	0	1774	0	0	1	
10637294736	SMP	1	0.00	0.00	0.00	0.00	0	1915	0	0	1	
10637303131	SMP	1	0.00	0.00	0.00	0.00	0	1918	0	0	1	
10637311521	SMP	1	0.00	0.00	0.00	0.00	0	1898	0	0	1	
10637319772	SMP	1	0.00	0.00	0.00	0.00	0	1602	0	0	1	
10637328153	SMP	1	0.00	0.00	0.00	0.00	0	1768	0	0	1	
10637336568	SMP	1	0.00	0.00	0.00	0.00	0	1536	0	0	1	
10637344871	SMP	1	0.00	0.00	0.00	0.00	0	1758	0	0	1	
10637353113	SMP	1	0.00	0.00	0.00	0.00	0	1874	0	0	1	
10637361514	SMP	1	0.00	0.00	0.00	0.00	0	1450	0	0	1	
10637369896	SMP	1	0.00	0.00	0.00	0.00	0	1944	0	0	1	
10637378269	SMP	1	0.00	0.00	0.00	0.00	0	1474	0	0	1	
10637386519	SMP	1	0.00	0.00	0.00	0.00	0	1446	0	0	1	
10637394892	SMP	1	0.00	0.00	0.00	0.00	0	1556	0	0	1	
10637403218	SMP	1	0.00	0.00	0.00	0.00	0	1468	0	0	1	
10637411516	SMP	1	0.00	0.00	0.00	0.00	0	1410	0	0	1	
