## [iView]
## Converted from:	F:\transfer\to convert\negtracker5_1\101112_01-1-eye_data.idf
## Date:	11.10.2012 20:44:38
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	60856                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	101112_01                                                                                                                                                                                                                                                       
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	5-point
## Calibration Area:	1600	900
## Calibration Point 0:	Position(800;450)
## Calibration Point 1:	Position(400;90)
## Calibration Point 2:	Position(1440;225)
## Calibration Point 3:	Position(1200;810)
## Calibration Point 4:	Position(160;675)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1040-05197-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
6154664288	SMP	1	0.00	0.00	0.00	0.00	-1	
6154714234	SMP	1	0.00	0.00	0.00	0.00	-1	
6154764295	SMP	1	0.00	0.00	0.00	0.00	-1	
6154814313	SMP	1	0.00	0.00	0.00	0.00	-1	
6154864402	SMP	1	0.00	0.00	0.00	0.00	-1	
6154914468	SMP	1	0.00	0.00	0.00	0.00	-1	
6154964424	SMP	1	0.00	0.00	0.00	0.00	-1	
6155014453	SMP	1	0.00	0.00	0.00	0.00	-1	
6155064443	SMP	1	0.00	0.00	0.00	0.00	-1	
6155114542	SMP	1	0.00	0.00	0.00	0.00	-1	
6155164543	SMP	1	0.00	0.00	0.00	0.00	-1	
6155214472	SMP	1	0.00	0.00	0.00	0.00	-1	
6155264553	SMP	1	0.00	0.00	0.00	0.00	-1	
6155314601	SMP	1	0.00	0.00	0.00	0.00	-1	
6155364672	SMP	1	0.00	0.00	0.00	0.00	-1	
6155414721	SMP	1	0.00	0.00	0.00	0.00	-1	
6155464690	SMP	1	0.00	0.00	0.00	0.00	-1	
6155514701	SMP	1	0.00	0.00	0.00	0.00	-1	
6155564704	SMP	1	0.00	0.00	0.00	0.00	-1	
6155614824	SMP	1	0.00	0.00	0.00	0.00	-1	
6155664800	SMP	1	0.00	0.00	0.00	0.00	-1	
6155714834	SMP	1	0.00	0.00	0.00	0.00	-1	
6155764797	SMP	1	0.00	0.00	0.00	0.00	-1	
6155814822	SMP	1	0.00	0.00	0.00	0.00	-1	
6155864920	SMP	1	0.00	0.00	0.00	0.00	-1	
6155914964	SMP	1	0.00	0.00	0.00	0.00	-1	
