## [iView]
## Converted from:	F:\transfer\to convert\negtracker5_1\101112_02-1-eye_data.idf
## Date:	11.10.2012 21:02:55
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	49892                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	101112_02                                                                                                                                                                                                                                                       
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(335;210)
## Calibration Point 1:	Position(1343;840)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1040-05197-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
7251503152	SMP	1	957.75	414.20	957.75	414.20	-1	
7251511374	SMP	1	933.99	416.27	933.99	416.27	-1	
7251519756	SMP	1	837.34	414.97	837.34	414.97	-1	
7251528139	SMP	1	772.20	409.83	772.20	409.83	-1	
7251536515	SMP	1	706.56	416.15	706.56	416.15	-1	
7251544727	SMP	1	767.89	410.47	767.89	410.47	-1	
7251553099	SMP	1	748.31	398.66	748.31	398.66	-1	
7251561471	SMP	1	488.23	429.53	488.23	429.53	-1	
7251569851	SMP	1	495.68	443.21	495.68	443.21	-1	
7251578099	SMP	1	501.81	447.87	501.81	447.87	-1	
7251586485	SMP	1	500.57	458.26	500.57	458.26	-1	
7251594834	SMP	1	496.29	458.75	496.29	458.75	-1	
7251603109	SMP	1	738.59	381.39	738.59	381.39	-1	
7251611466	SMP	1	730.97	380.93	730.97	380.93	-1	
7251619841	SMP	1	720.54	390.54	720.54	390.54	-1	
7251628204	SMP	1	658.25	402.80	658.25	402.80	-1	
7251636486	SMP	1	697.51	402.11	697.51	402.11	-1	
7251644872	SMP	1	500.83	468.23	500.83	468.23	-1	
7251653279	SMP	1	715.87	370.46	715.87	370.46	-1	
7251661611	SMP	1	726.79	370.80	726.79	370.80	-1	
7251669855	SMP	1	703.32	370.18	703.32	370.18	-1	
7251678280	SMP	1	712.55	368.30	712.55	368.30	-1	
7251686624	SMP	1	659.18	390.61	659.18	390.61	-1	
7251694972	SMP	1	714.39	388.39	714.39	388.39	-1	
7251703255	SMP	1	713.15	379.65	713.15	379.65	-1	
7251711597	SMP	1	719.36	376.80	719.36	376.80	-1	
7251719998	SMP	1	687.52	377.86	687.52	377.86	-1	
7251728373	SMP	1	704.45	380.48	704.45	380.48	-1	
7251736603	SMP	1	716.10	380.68	716.10	380.68	-1	
7251745002	SMP	1	721.45	382.12	721.45	382.12	-1	
7251753373	SMP	1	716.00	379.23	716.00	379.23	-1	
7251761622	SMP	1	683.01	385.60	683.01	385.60	-1	
7251769963	SMP	1	716.36	379.51	716.36	379.51	-1	
7251778350	SMP	1	674.58	386.24	674.58	386.24	-1	
7251786706	SMP	1	712.01	383.42	712.01	383.42	-1	
7251794962	SMP	1	674.07	385.62	674.07	385.62	-1	
7251803333	SMP	1	694.77	387.65	694.77	387.65	-1	
7251811712	SMP	1	656.01	389.06	656.01	389.06	-1	
7251820077	SMP	1	588.19	393.03	588.19	393.03	-1	
7251828324	SMP	1	566.47	395.71	566.47	395.71	-1	
7251836694	SMP	1	566.78	396.24	566.78	396.24	-1	
7251845072	SMP	1	628.63	392.12	628.63	392.12	-1	
7251853445	SMP	1	600.89	399.56	600.89	399.56	-1	
7251861694	SMP	1	624.81	402.58	624.81	402.58	-1	
7251870068	SMP	1	575.59	410.21	575.59	410.21	-1	
7251878466	SMP	1	561.06	413.13	561.06	413.13	-1	
7251886692	SMP	1	597.61	407.40	597.61	407.40	-1	
7251895099	SMP	1	595.50	417.58	595.50	417.58	-1	
7251903450	SMP	1	504.95	429.21	504.95	429.21	-1	
7251911822	SMP	1	568.01	421.26	568.01	421.26	-1	
7251920065	SMP	1	562.36	424.67	562.36	424.67	-1	
7251928447	SMP	1	491.46	393.03	491.46	393.03	-1	
