## [iView]
## Converted from:	F:\transfer\to convert\negtracker5_2\020313_10-eye_data.idf
## Date:	03.02.2013 23:25:21
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	1311                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	020313_10-eye_data                                                                                                                                                                                                                                              
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(335;210)
## Calibration Point 1:	Position(1343;840)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1040-05197-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
4418769780	SMP	1	1018.08	369.28	1018.08	369.28	-1	
4418778113	SMP	1	1013.90	363.42	1013.90	363.42	-1	
4418786435	SMP	1	1022.03	356.69	1022.03	356.69	-1	
4418794720	SMP	1	1010.77	369.51	1010.77	369.51	-1	
4418803111	SMP	1	1016.34	379.81	1016.34	379.81	-1	
4418811348	SMP	1	1016.28	364.25	1016.28	364.25	-1	
4418819721	SMP	1	1011.83	364.09	1011.83	364.09	-1	
4418828090	SMP	1	1016.02	361.55	1016.02	361.55	-1	
4418836470	SMP	1	1027.14	356.96	1027.14	356.96	-1	
4418844712	SMP	1	1014.77	358.66	1014.77	358.66	-1	
4418853102	SMP	1	1020.80	355.53	1020.80	355.53	-1	
4418861456	SMP	1	1019.51	352.58	1019.51	352.58	-1	
4418869846	SMP	1	1017.33	359.43	1017.33	359.43	-1	
4418878082	SMP	1	1014.74	352.43	1014.74	352.43	-1	
4418886474	SMP	1	1016.64	370.42	1016.64	370.42	-1	
4418894834	SMP	1	1032.16	368.67	1032.16	368.67	-1	
4418903234	SMP	1	1022.53	356.74	1022.53	356.74	-1	
4418911521	SMP	1	1023.99	351.75	1023.99	351.75	-1	
4418919894	SMP	1	1024.22	352.20	1024.22	352.20	-1	
4418928234	SMP	1	1019.69	365.50	1019.69	365.50	-1	
4418936461	SMP	1	1037.05	358.36	1037.05	358.36	-1	
4418944881	SMP	1	1060.20	340.55	1060.20	340.55	-1	
4418953255	SMP	1	1112.87	350.66	1112.87	350.66	-1	
4418961618	SMP	1	1052.72	339.88	1052.72	339.88	-1	
