## [iView]
## Converted from:	F:\transfer\to convert\negtracker5_2\041113_15-eye_data.idf
## Date:	11.04.2013 22:55:43
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	52669                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	041113_15                                                                                                                                                                                                                                                       
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(335;210)
## Calibration Point 1:	Position(1343;840)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1040-05197-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
19094053025	SMP	1	1398.00	723.35	1398.00	723.35	-1	
19094061371	SMP	1	1404.00	725.42	1404.00	725.42	-1	
19094069733	SMP	1	1400.46	728.45	1400.46	728.45	-1	
19094078033	SMP	1	1402.77	724.28	1402.77	724.28	-1	
19094086341	SMP	1	1406.10	729.57	1406.10	729.57	-1	
19094094749	SMP	1	1404.33	731.97	1404.33	731.97	-1	
19094103101	SMP	1	1408.83	732.82	1408.83	732.82	-1	
19094111376	SMP	1	1401.03	735.16	1401.03	735.16	-1	
19094119705	SMP	1	1403.75	734.29	1403.75	734.29	-1	
19094128093	SMP	1	1406.29	733.66	1406.29	733.66	-1	
19094136475	SMP	1	1409.48	739.54	1409.48	739.54	-1	
19094144735	SMP	1	1409.66	736.22	1409.66	736.22	-1	
19094153085	SMP	1	1400.95	737.61	1400.95	737.61	-1	
19094161447	SMP	1	1400.47	733.80	1400.47	733.80	-1	
19094169851	SMP	1	1399.42	742.56	1399.42	742.56	-1	
19094178098	SMP	1	1400.12	738.65	1400.12	738.65	-1	
19094186503	SMP	1	1401.73	739.68	1401.73	739.68	-1	
19094194899	SMP	1	1402.01	738.13	1402.01	738.13	-1	
19094203146	SMP	1	1402.71	734.33	1402.71	734.33	-1	
19094211513	SMP	1	1403.74	732.96	1403.74	732.96	-1	
19094219901	SMP	1	1405.41	738.87	1405.41	738.87	-1	
19094228250	SMP	1	1364.90	729.98	1364.90	729.98	-1	
19094236499	SMP	1	1209.86	728.60	1209.86	728.60	-1	
19094244876	SMP	1	1050.56	718.36	1050.56	718.36	-1	
19094253254	SMP	1	931.08	660.42	931.08	660.42	-1	
19094261571	SMP	1	828.33	632.22	828.33	632.22	-1	
19094269882	SMP	1	759.26	621.19	759.26	621.19	-1	
19094278249	SMP	1	681.73	627.93	681.73	627.93	-1	
19094286623	SMP	1	707.82	622.12	707.82	622.12	-1	
19094294999	SMP	1	707.46	626.02	707.46	626.02	-1	
19094303246	SMP	1	697.79	616.96	697.79	616.96	-1	
19094311623	SMP	1	694.01	625.28	694.01	625.28	-1	
19094319976	SMP	1	693.81	620.25	693.81	620.25	-1	
19094328382	SMP	1	692.32	621.16	692.32	621.16	-1	
19094336607	SMP	1	698.01	628.81	698.01	628.81	-1	
19094344964	SMP	1	694.45	621.94	694.45	621.94	-1	
19094353339	SMP	1	704.60	614.82	704.60	614.82	-1	
19094361578	SMP	1	699.30	618.55	699.30	618.55	-1	
19094369964	SMP	1	697.31	608.05	697.31	608.05	-1	
19094378330	SMP	1	694.43	610.63	694.43	610.63	-1	
19094386704	SMP	1	692.77	604.93	692.77	604.93	-1	
19094394965	SMP	1	695.11	613.36	695.11	613.36	-1	
19094403357	SMP	1	695.87	605.01	695.87	605.01	-1	
19094411712	SMP	1	700.60	607.92	700.60	607.92	-1	
19094420098	SMP	1	695.92	605.28	695.92	605.28	-1	
19094428329	SMP	1	700.16	600.35	700.16	600.35	-1	
19094436704	SMP	1	703.48	602.46	703.48	602.46	-1	
19094445077	SMP	1	695.22	604.00	695.22	604.00	-1	
19094453467	SMP	1	698.76	604.98	698.76	604.98	-1	
19094461693	SMP	1	691.67	608.17	691.67	608.17	-1	
19094470089	SMP	1	692.57	610.76	692.57	610.76	-1	
19094478446	SMP	1	691.17	596.08	691.17	596.08	-1	
19094486703	SMP	1	683.29	612.72	683.29	612.72	-1	
19094495084	SMP	1	688.96	605.93	688.96	605.93	-1	
19094503449	SMP	1	799.46	619.32	799.46	619.32	-1	
19094511832	SMP	1	945.70	646.71	945.70	646.71	-1	
19094520076	SMP	1	1112.03	683.04	1112.03	683.04	-1	
19094528446	SMP	1	1254.40	729.90	1254.40	729.90	-1	
19094536821	SMP	1	1347.12	789.86	1347.12	789.86	-1	
19094545231	SMP	1	1484.25	794.27	1484.25	794.27	-1	
19094553528	SMP	1	1465.08	795.03	1465.08	795.03	-1	
19094561897	SMP	1	1442.63	813.82	1442.63	813.82	-1	
19094570246	SMP	1	1451.95	747.44	1451.95	747.44	-1	
19094578656	SMP	1	1459.53	779.41	1459.53	779.41	-1	
19094586894	SMP	1	1464.18	795.41	1464.18	795.41	-1	
