## [iView]
## Converted from:	F:\transfer\MAY23 ADULT RAW DATA\5_2\052313_09-eye_data.idf
## Date:	23.05.2013 21:43:44
## Version:	IDF Converter 3.0.14
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	64229                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	052313_09                                                                                                                                                                                                                                                       
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	5-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(840;525)
## Calibration Point 1:	Position(420;105)
## Calibration Point 2:	Position(1512;262)
## Calibration Point 3:	Position(1260;945)
## Calibration Point 4:	Position(167;787)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1040-05197-SMU
## Operating System :	5.1
## iView X Version:	2.8.26
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, QUALITY, MSG
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	Latency	L Validity	R Validity	Pupil Confidence	Aux1
102853095383	SMP	1	727.75	482.26	727.75	482.26	0	1635	0	0	1	
102853103744	SMP	1	726.38	483.92	726.38	483.92	0	1767	0	0	1	
102853112106	SMP	1	723.60	487.58	723.60	487.58	0	1954	0	0	1	
102853793188	MSG	1	# Message: elmo_duck1.avi
102853796093	SMP	1	783.39	452.72	783.39	452.72	0	1598	0	0	1	
102853804477	SMP	1	784.80	446.80	784.80	446.80	0	1380	0	0	1	
102853813273	SMP	1	784.47	444.35	784.47	444.35	0	2964	0	0	1	
102853821118	SMP	1	783.70	448.98	783.70	448.98	0	1782	0	0	1	
102853829464	SMP	1	782.95	448.91	782.95	448.91	0	1859	0	0	1	
102853837885	SMP	1	785.02	448.90	785.02	448.90	0	2219	0	0	1	
102853846098	SMP	1	783.91	451.26	783.91	451.26	0	1843	0	0	1	
102853854622	SMP	1	785.45	448.38	785.45	448.38	0	1862	0	0	1	
102853862839	SMP	1	785.32	450.12	785.32	450.12	0	1590	0	0	1	
102853871250	SMP	1	783.26	446.51	783.26	446.51	0	1449	0	0	1	
102853879475	SMP	1	783.80	448.81	783.80	448.81	0	1657	0	0	1	
102853888539	SMP	1	783.91	451.94	783.91	451.94	0	2435	0	0	1	
102853896250	SMP	1	785.66	453.75	785.66	453.75	0	1753	0	0	1	
102853904595	SMP	1	789.23	458.27	789.23	458.27	0	1660	0	0	1	
102853912835	SMP	1	792.41	464.74	792.41	464.74	0	1729	0	0	1	
102853921237	SMP	1	791.78	465.55	791.78	465.55	0	3251	0	0	1	
102853946247	SMP	1	785.33	465.61	785.33	465.61	0	1897	0	0	1	
102853954642	SMP	1	779.10	478.52	779.10	478.52	0	2712	0	0	1	
102853962989	SMP	1	731.23	605.58	731.23	605.58	0	1647	0	0	1	
102853971218	SMP	1	629.89	677.43	629.89	677.43	0	6950	0	0	1	
102853996393	SMP	1	532.64	809.83	532.64	809.83	0	1980	0	0	1	
102854004592	SMP	1	543.72	804.36	543.72	804.36	0	1662	0	0	1	
102854012964	SMP	1	547.83	807.30	547.83	807.30	0	1642	0	0	1	
102854021380	SMP	1	546.35	806.31	546.35	806.31	0	2721	0	0	1	
102854029743	SMP	1	546.57	808.47	546.57	808.47	0	1691	0	0	1	
102854037951	SMP	1	543.66	809.42	543.66	809.42	0	1919	0	0	1	
102854046367	SMP	1	539.10	810.22	539.10	810.22	0	1609	0	0	1	
102854054732	SMP	1	532.35	809.38	532.35	809.38	0	2362	0	0	1	
102854063115	SMP	1	526.48	811.11	526.48	811.11	0	1717	0	0	1	
102854071368	SMP	1	523.29	811.88	523.29	811.88	0	1527	0	0	1	
102854079711	SMP	1	528.64	813.74	528.64	813.74	0	1588	0	0	1	
102854088127	SMP	1	529.16	812.62	529.16	812.62	0	2527	0	0	1	
102854096490	SMP	1	526.21	816.66	526.21	816.66	0	1926	0	0	1	
102854104744	SMP	1	526.14	817.90	526.14	817.90	0	1463	0	0	1	
102854113077	SMP	1	525.83	816.43	525.83	816.43	0	2080	0	0	1	
102854121488	SMP	1	527.58	811.06	527.58	811.06	0	2379	0	0	1	
102854129746	SMP	1	530.72	810.48	530.72	810.48	0	1548	0	0	1	
102854138087	SMP	1	532.36	809.82	532.36	809.82	0	1694	0	0	1	
102854146453	SMP	1	531.41	807.90	531.41	807.90	0	1802	0	0	1	
102854154881	SMP	1	532.64	808.19	532.64	808.19	0	2744	0	0	1	
102854163124	SMP	1	533.31	807.25	533.31	807.25	0	1659	0	0	1	
102854171456	SMP	1	531.03	805.13	531.03	805.13	0	2096	0	0	1	
102854179857	SMP	1	534.58	808.10	534.58	808.10	0	1593	0	0	1	
102854188251	SMP	1	536.96	810.37	536.96	810.37	0	2500	0	0	1	
102854196480	SMP	1	539.59	814.75	539.59	814.75	0	1973	0	0	1	
102854204838	SMP	1	546.37	815.92	546.37	815.92	0	1701	0	0	1	
102854213176	SMP	1	624.34	796.10	624.34	796.10	0	1582	0	0	1	
102854222212	SMP	1	689.67	747.16	689.67	747.16	0	2424	0	0	1	
102854229849	SMP	1	730.16	681.92	730.16	681.92	0	1684	0	0	1	
102854238326	SMP	1	765.84	639.02	765.84	639.02	0	2085	0	0	1	
102854246619	SMP	1	770.96	634.83	770.96	634.83	0	1930	0	0	1	
102854255148	SMP	1	770.93	636.44	770.93	636.44	0	2640	0	0	1	
102854263192	SMP	1	768.20	634.60	768.20	634.60	0	2105	0	0	1	
102854271569	SMP	1	769.46	635.64	769.46	635.64	0	1722	0	0	1	
102854279971	SMP	1	768.59	634.17	768.59	634.17	0	1722	0	0	1	
102854288799	SMP	1	767.99	634.80	767.99	634.80	0	2276	0	0	1	
102854296613	SMP	1	768.81	636.01	768.81	636.01	0	1963	0	0	1	
102854305019	SMP	1	767.34	635.21	767.34	635.21	0	1767	0	0	1	
102854313357	SMP	1	768.42	634.26	768.42	634.26	0	1397	0	0	1	
102854321674	SMP	1	772.23	634.14	772.23	634.14	0	2929	0	0	1	
102854329995	SMP	1	775.32	635.86	775.32	635.86	0	1383	0	0	1	
102854338333	SMP	1	778.33	637.27	778.33	637.27	0	1682	0	0	1	
102854346699	SMP	1	782.70	643.69	782.70	643.69	0	1794	0	0	1	
102854355199	SMP	1	785.08	643.50	785.08	643.50	0	2238	0	0	1	
102854363328	SMP	1	784.58	644.64	784.58	644.64	0	1577	0	0	1	
102854371759	SMP	1	790.19	644.77	790.19	644.77	0	1918	0	0	1	
102854380109	SMP	1	788.56	645.51	788.56	645.51	0	1665	0	0	1	
102854388366	SMP	1	796.20	646.57	796.20	646.57	0	2828	0	0	1	
102854396738	SMP	1	800.18	650.61	800.18	650.61	0	1925	0	0	1	
102854405079	SMP	1	802.44	651.07	802.44	651.07	0	1630	0	0	1	
102854413327	SMP	1	803.77	649.94	803.77	649.94	0	1584	0	0	1	
102854421754	SMP	1	800.67	648.70	800.67	648.70	0	2244	0	0	1	
102854430187	SMP	1	798.17	651.38	798.17	651.38	0	2019	0	0	1	
102854438501	SMP	1	794.94	649.12	794.94	649.12	0	1808	0	0	1	
102854446701	SMP	1	799.71	648.09	799.71	648.09	0	1744	0	0	1	
102854455667	SMP	1	798.08	647.73	798.08	647.73	0	2371	0	0	1	
102854463485	SMP	1	793.55	646.40	793.55	646.40	0	1757	0	0	1	
102854471813	SMP	1	791.87	643.72	791.87	643.72	0	1890	0	0	1	
102854480099	SMP	1	790.47	643.44	790.47	643.44	0	1683	0	0	1	
102854488457	SMP	1	789.03	642.81	789.03	642.81	0	1623	0	0	1	
102854496847	SMP	1	789.71	642.24	789.71	642.24	0	1719	0	0	1	
102854505225	SMP	1	785.80	643.35	785.80	643.35	0	1721	0	0	1	
102854513454	SMP	1	786.11	641.78	786.11	641.78	0	1372	0	0	1	
102854521905	SMP	1	785.62	639.45	785.62	639.45	0	2902	0	0	1	
102854530244	SMP	1	787.88	635.51	787.88	635.51	0	1806	0	0	1	
102854538466	SMP	1	787.03	633.76	787.03	633.76	0	1367	0	0	1	
102854546845	SMP	1	786.89	631.64	786.89	631.64	0	1922	0	0	1	
102854555502	SMP	1	787.54	629.38	787.54	629.38	0	2404	0	0	1	
102854563588	SMP	1	788.76	627.28	788.76	627.28	0	1606	0	0	1	
102854571820	SMP	1	789.46	623.28	789.46	623.28	0	1881	0	0	1	
102854580153	SMP	1	791.75	622.22	791.75	622.22	0	1602	0	0	1	
102854588647	SMP	1	793.13	623.59	793.13	623.59	0	2202	0	0	1	
102854596982	SMP	1	795.88	625.67	795.88	625.67	0	1908	0	0	1	
102854605242	SMP	1	794.86	624.53	794.86	624.53	0	1426	0	0	1	
102854613569	SMP	1	796.29	631.11	796.29	631.11	0	1872	0	0	1	
102854621970	SMP	1	797.26	630.96	797.26	630.96	0	2731	0	0	1	
102854630355	SMP	1	799.29	639.93	799.29	639.93	0	1807	0	0	1	
102854638589	SMP	1	799.45	642.79	799.45	642.79	0	6919	0	0	1	
102854663758	SMP	1	801.37	636.22	801.37	636.22	0	1560	0	0	1	
102854671950	SMP	1	803.73	635.61	803.73	635.61	0	2012	0	0	1	
102854680316	SMP	1	809.30	637.98	809.30	637.98	0	1774	0	0	1	
102854688735	SMP	1	811.78	640.02	811.78	640.02	0	2617	0	0	1	
102854696983	SMP	1	810.96	640.95	810.96	640.95	0	1958	0	0	1	
102854705326	SMP	1	810.28	639.93	810.28	639.93	0	1382	0	0	1	
102854713701	SMP	1	806.59	639.52	806.59	639.52	0	1438	0	0	1	
102854722104	SMP	1	807.21	637.16	807.21	637.16	0	3026	0	0	1	
102854730368	SMP	1	806.26	635.96	806.26	635.96	0	1537	0	0	1	
102854738797	SMP	1	806.44	633.55	806.44	633.55	0	1970	0	0	1	
102854747103	SMP	1	807.02	632.48	807.02	632.48	0	2088	0	0	1	
