## [iView]
## Converted from:	F:\transfer\JUNE12 RAW DATA\5_2\061213_01-eye_data.idf
## Date:	12.06.2013 18:49:20
## Version:	IDF Converter 3.0.14
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	787                                                                                                                                                                                                                                                             
## Reversed:	none
## [Run]
## Subject:	061213_01                                                                                                                                                                                                                                                       
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(335;210)
## Calibration Point 1:	Position(1343;840)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, QUALITY, MSG
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	Latency	L Validity	R Validity	Pupil Confidence	Aux1
4479164387	SMP	1	471.35	245.32	471.35	245.32	0	1394	0	0	1	
4479172771	SMP	1	466.99	231.18	466.99	231.18	0	1640	0	0	1	
4479181155	SMP	1	488.02	232.98	488.02	232.98	0	1998	0	0	1	
4479189379	SMP	1	655.94	230.45	655.94	230.45	0	1505	0	0	1	
4479197712	SMP	1	745.85	215.63	745.85	215.63	0	1688	0	0	1	
4479206098	SMP	1	824.15	40.37	824.15	40.37	0	1605	0	0	1	
4479214467	SMP	1	870.61	-35.69	870.61	-35.69	0	1708	0	0	1	
4479222708	SMP	1	0.00	-0.42	0.00	-0.42	0	1929	0	0	1	
4479231071	SMP	1	945.62	-40.02	945.62	-40.02	0	1805	0	0	1	
4479239448	SMP	1	913.07	51.12	913.07	51.12	0	2448	0	0	1	
4479247713	SMP	1	0.00	-1.96	0.00	-1.96	0	1801	0	0	1	
4479256123	SMP	1	0.00	-1.49	0.00	-1.49	0	1972	0	0	1	
4479264522	SMP	1	0.00	-1.20	0.00	-1.20	0	1728	0	0	1	
4479272837	SMP	1	0.00	-1.00	0.00	-1.00	0	1715	0	0	1	
4479281129	SMP	1	0.00	-0.85	0.00	-0.85	0	1962	0	0	1	
4479289458	SMP	1	0.00	-0.73	0.00	-0.73	0	1706	0	0	1	
4479297866	SMP	1	921.11	-5.38	921.11	-5.38	0	1683	0	0	1	
4479306234	SMP	1	905.56	-54.73	905.56	-54.73	0	2163	0	0	1	
4479314516	SMP	1	936.13	-34.44	936.13	-34.44	0	2116	0	0	1	
4479322867	SMP	1	925.71	-27.90	925.71	-27.90	0	3070	0	0	1	
4479331264	SMP	1	0.00	-5.09	0.00	-5.09	0	2451	0	0	1	
4479339612	SMP	1	933.39	-12.27	933.39	-12.27	0	2288	0	0	1	
4479347873	SMP	1	0.00	-6.93	0.00	-6.93	0	1471	0	0	1	
4479356272	SMP	1	0.00	-6.77	0.00	-6.77	0	1558	0	0	1	
4479364621	SMP	1	956.06	-8.58	956.06	-8.58	0	1797	0	0	1	
4479372984	SMP	1	0.00	-7.09	0.00	-7.09	0	2180	0	0	1	
4479381250	SMP	1	0.00	-6.84	0.00	-6.84	0	2394	0	0	1	
4479389632	SMP	1	0.00	-5.63	0.00	-5.63	0	2400	0	0	1	
4479398003	SMP	1	951.37	-15.45	951.37	-15.45	0	2489	0	0	1	
4479406244	SMP	1	0.00	-5.33	0.00	-5.33	0	2345	0	0	1	
4479414622	SMP	1	960.11	-45.05	960.11	-45.05	0	2405	0	0	1	
4479422988	SMP	1	992.35	-89.37	992.35	-89.37	0	2903	0	0	1	
4479431351	SMP	1	0.00	-3.37	0.00	-3.37	0	3659	0	0	1	
4479439570	SMP	1	0.00	-3.29	0.00	-3.29	0	3686	0	0	1	
4479447958	SMP	1	931.00	-90.57	931.00	-90.57	0	3887	0	0	1	
4479456333	SMP	1	960.18	-84.37	960.18	-84.37	0	3607	0	0	1	
4479464711	SMP	1	0.00	-3.56	0.00	-3.56	0	3495	0	0	1	
4479472950	SMP	1	0.00	-3.40	0.00	-3.40	0	3321	0	0	1	
4479481333	SMP	1	965.66	-92.35	965.66	-92.35	0	3206	0	0	1	
4479489691	SMP	1	0.00	-1.02	0.00	-1.02	0	3082	0	0	1	
4479498076	SMP	1	875.46	-87.03	875.46	-87.03	0	3189	0	0	1	
