## [iView]
## Converted from:	F:\transfer\JUNE12 RAW DATA\5_2\061213_01-1-eye_data.idf
## Date:	12.06.2013 20:11:59
## Version:	IDF Converter 3.0.14
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	64364                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	061213_01                                                                                                                                                                                                                                                       
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(335;210)
## Calibration Point 1:	Position(1343;840)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, QUALITY, MSG
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	Latency	L Validity	R Validity	Pupil Confidence	Aux1
9438133093	SMP	1	1298.45	527.66	1298.45	527.66	0	1556	0	0	1	
9438141463	SMP	1	1298.39	527.16	1298.39	527.16	0	1464	0	0	1	
9438149794	SMP	1	1299.45	527.07	1299.45	527.07	0	1512	0	0	1	
9438158072	SMP	1	1301.13	527.66	1301.13	527.66	0	1992	0	0	1	
9438166477	SMP	1	1298.38	528.17	1298.38	528.17	0	1470	0	0	1	
9438174789	SMP	1	1299.60	527.25	1299.60	527.25	0	2052	0	0	1	
9438183181	SMP	1	1299.65	527.52	1299.65	527.52	0	1759	0	0	1	
9438191413	SMP	1	1298.89	527.53	1298.89	527.53	0	1691	0	0	1	
9438199818	SMP	1	1300.97	527.94	1300.97	527.94	0	1863	0	0	1	
9438208162	SMP	1	1299.05	528.86	1299.05	528.86	0	1684	0	0	1	
9438216546	SMP	1	1296.96	528.11	1296.96	528.11	0	1735	0	0	1	
9438224790	SMP	1	1297.28	528.57	1297.28	528.57	0	1929	0	0	1	
9438233150	SMP	1	1297.76	528.27	1297.76	528.27	0	1702	0	0	1	
9438241571	SMP	1	1297.59	528.64	1297.59	528.64	0	1680	0	0	1	
9438249898	SMP	1	1297.10	528.22	1297.10	528.22	0	1860	0	0	1	
9438258136	SMP	1	1297.27	527.92	1297.27	527.92	0	1687	0	0	1	
9438266565	SMP	1	1297.08	527.01	1297.08	527.01	0	1392	0	0	1	
9438274938	SMP	1	1298.83	526.25	1298.83	526.25	0	1512	0	0	1	
9438283224	SMP	1	1300.46	524.52	1300.46	524.52	0	1504	0	0	1	
9438291566	SMP	1	1309.87	522.80	1309.87	522.80	0	1648	0	0	1	
9438299955	SMP	1	1314.21	522.42	1314.21	522.42	0	1582	0	0	1	
9438308315	SMP	1	1331.15	519.89	1331.15	519.89	0	1407	0	0	1	
9438316564	SMP	1	1326.60	520.09	1326.60	520.09	0	1385	0	0	1	
9438324936	SMP	1	1335.42	520.49	1335.42	520.49	0	1516	0	0	1	
9438333312	SMP	1	1339.25	518.61	1339.25	518.61	0	1380	0	0	1	
9438341640	SMP	1	1339.26	517.87	1339.26	517.87	0	1761	0	0	1	
9438349942	SMP	1	1341.10	517.27	1341.10	517.27	0	1510	0	0	1	
9438358312	SMP	1	1342.64	516.96	1342.64	516.96	0	1388	0	0	1	
9438366674	SMP	1	1344.51	516.00	1344.51	516.00	0	1402	0	0	1	
9438375061	SMP	1	1346.43	517.15	1346.43	517.15	0	1542	0	0	1	
9438383317	SMP	1	1346.23	517.75	1346.23	517.75	0	1399	0	0	1	
