## [iView]
## Converted from:	F:\transfer\JUNE13 RAW DATA\5_2\061313_01-eye_data.idf
## Date:	13.06.2013 17:40:57
## Version:	IDF Converter 3.0.14
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	33573                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	061313_01                                                                                                                                                                                                                                                       
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	5-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(840;525)
## Calibration Point 1:	Position(420;105)
## Calibration Point 2:	Position(1512;262)
## Calibration Point 3:	Position(1260;945)
## Calibration Point 4:	Position(167;787)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, QUALITY, MSG
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	Latency	L Validity	R Validity	Pupil Confidence	Aux1
1653473810	SMP	1	0.00	0.00	0.00	0.00	0	13286	0	0	0	
1653523830	SMP	1	0.00	0.00	0.00	0.00	0	14431	0	0	0	
1653573869	SMP	1	0.00	0.00	0.00	0.00	0	14690	0	0	0	
1653623831	SMP	1	0.00	0.00	0.00	0.00	0	12636	0	0	0	
1653673862	SMP	1	0.00	0.00	0.00	0.00	0	12675	0	0	0	
1653723982	SMP	1	0.00	0.00	0.00	0.00	0	12583	0	0	0	
1653773968	SMP	1	0.00	0.00	0.00	0.00	0	13395	0	0	0	
1653823911	SMP	1	0.00	0.00	0.00	0.00	0	13986	0	0	0	
1653873944	SMP	1	0.00	0.00	0.00	0.00	0	12556	0	0	0	
1653923988	SMP	1	0.00	0.00	0.00	0.00	0	13382	0	0	0	
1653974125	SMP	1	0.00	0.00	0.00	0.00	0	14468	0	0	0	
1654024139	SMP	1	0.00	0.00	0.00	0.00	0	14586	0	0	0	
1654074121	SMP	1	0.00	0.00	0.00	0.00	0	14445	0	0	0	
1654124122	SMP	1	0.00	0.00	0.00	0.00	0	12915	0	0	0	
1654174163	SMP	1	0.00	0.00	0.00	0.00	0	12647	0	0	0	
1654224217	SMP	1	0.00	0.00	0.00	0.00	0	12625	0	0	0	
1654274174	SMP	1	0.00	0.00	0.00	0.00	0	13296	0	0	0	
1654324287	SMP	1	0.00	0.00	0.00	0.00	0	14624	0	0	0	
1654374272	SMP	1	0.00	0.00	0.00	0.00	0	12700	0	0	0	
1654424358	SMP	1	0.00	0.00	0.00	0.00	0	12584	0	0	0	
