## [iView]
## Converted from:	F:\transfer\to convert\negtracker5_2\110112_05-eye_data.idf
## Date:	01.11.2012 19:34:34
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	9528                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	110112_05                                                                                                                                                                                                                                                       
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(335;210)
## Calibration Point 1:	Position(1343;840)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1040-05197-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
7028404399	SMP	1	712.52	217.52	712.52	217.52	-1	
7028412807	SMP	1	800.71	222.12	800.71	222.12	-1	
7028421004	SMP	1	803.30	120.08	803.30	120.08	-1	
7028429367	SMP	1	778.12	196.51	778.12	196.51	-1	
7028437708	SMP	1	919.34	224.39	919.34	224.39	-1	
7028446089	SMP	1	801.62	183.58	801.62	183.58	-1	
7028454335	SMP	1	919.11	224.51	919.11	224.51	-1	
7028462713	SMP	1	904.90	219.58	904.90	219.58	-1	
7028471138	SMP	1	803.56	220.82	803.56	220.82	-1	
7028479461	SMP	1	806.35	195.45	806.35	195.45	-1	
7028487716	SMP	1	888.76	223.05	888.76	223.05	-1	
7028496082	SMP	1	878.85	179.56	878.85	179.56	-1	
7028504453	SMP	1	813.23	197.93	813.23	197.93	-1	
7028512840	SMP	1	820.89	208.37	820.89	208.37	-1	
7028521095	SMP	1	807.73	223.31	807.73	223.31	-1	
7028529497	SMP	1	859.03	226.27	859.03	226.27	-1	
7028537870	SMP	1	816.06	217.15	816.06	217.15	-1	
7028546136	SMP	1	833.80	211.93	833.80	211.93	-1	
7028554504	SMP	1	857.35	223.97	857.35	223.97	-1	
7028562895	SMP	1	798.70	224.39	798.70	224.39	-1	
7028571255	SMP	1	0.00	0.00	0.00	0.00	-1	
7028596254	SMP	1	791.56	234.56	791.56	234.56	-1	
7028604628	SMP	1	802.65	212.50	802.65	212.50	-1	
7028612867	SMP	1	819.72	218.34	819.72	218.34	-1	
7028621250	SMP	1	816.20	223.86	816.20	223.86	-1	
7028629584	SMP	1	817.07	228.00	817.07	228.00	-1	
7028637998	SMP	1	819.37	225.04	819.37	225.04	-1	
7028646252	SMP	1	822.32	225.76	822.32	225.76	-1	
7028654626	SMP	1	823.21	229.85	823.21	229.85	-1	
7028662966	SMP	1	822.55	238.03	822.55	238.03	-1	
7028671216	SMP	1	832.00	242.34	832.00	242.34	-1	
7028679575	SMP	1	830.39	251.39	830.39	251.39	-1	
7028687958	SMP	1	887.26	321.86	887.26	321.86	-1	
7028696317	SMP	1	944.61	478.78	944.61	478.78	-1	
7028704580	SMP	1	989.77	598.28	989.77	598.28	-1	
7028712944	SMP	1	997.61	681.49	997.61	681.49	-1	
7028721347	SMP	1	999.26	719.96	999.26	719.96	-1	
