## [iView]
## Converted from:	F:\transfer\to convert\negtracker5_3\011113_01-eye_data.idf
## Date:	11.01.2013 19:23:54
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	36964                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	011113_01                                                                                                                                                                                                                                                       
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	5-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(840;525)
## Calibration Point 1:	Position(420;105)
## Calibration Point 2:	Position(1512;262)
## Calibration Point 3:	Position(1260;945)
## Calibration Point 4:	Position(167;787)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1040-05197-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
2615768660	SMP	1	0.00	0.00	0.00	0.00		
2615818807	SMP	1	0.00	0.00	0.00	0.00	-1	
2615868853	SMP	1	0.00	0.00	0.00	0.00	-1	
2615918837	SMP	1	0.00	0.00	0.00	0.00	-1	
2615968848	SMP	1	0.00	0.00	0.00	0.00	-1	
2616018894	SMP	1	0.00	0.00	0.00	0.00	-1	
2616068956	SMP	1	0.00	0.00	0.00	0.00	-1	
2616118958	SMP	1	0.00	0.00	0.00	0.00	-1	
2616169074	SMP	1	0.00	0.00	0.00	0.00	-1	
2616218997	SMP	1	0.00	0.00	0.00	0.00	-1	
2616269095	SMP	1	0.00	0.00	0.00	0.00	-1	
2616319111	SMP	1	0.00	0.00	0.00	0.00	-1	
2616369114	SMP	1	0.00	0.00	0.00	0.00	-1	
2616419067	SMP	1	0.00	0.00	0.00	0.00	-1	
2616469065	SMP	1	0.00	0.00	0.00	0.00	-1	
2616519124	SMP	1	0.00	0.00	0.00	0.00	-1	
2616569112	SMP	1	0.00	0.00	0.00	0.00	-1	
2616619243	SMP	1	0.00	0.00	0.00	0.00	-1	
2616669259	SMP	1	0.00	0.00	0.00	0.00	-1	
2616719383	SMP	1	0.00	0.00	0.00	0.00	-1	
2616769246	SMP	1	0.00	0.00	0.00	0.00	-1	
2616819365	SMP	1	0.00	0.00	0.00	0.00	-1	
2616869426	SMP	1	0.00	0.00	0.00	0.00	-1	
2616919354	SMP	1	0.00	0.00	0.00	0.00	-1	
2616969329	SMP	1	0.00	0.00	0.00	0.00	-1	
2617019485	SMP	1	0.00	0.00	0.00	0.00	-1	
2617069732	SMP	1	0.00	0.00	0.00	0.00	-1	
2617521615	MSG	1	# Message: elmo_duck.avi
2617569663	SMP	1	0.00	0.00	0.00	0.00	-1	
2617619708	SMP	1	0.00	0.00	0.00	0.00	-1	
2617669662	SMP	1	0.00	0.00	0.00	0.00	-1	
2617719625	SMP	1	0.00	0.00	0.00	0.00	-1	
2617769798	SMP	1	0.00	0.00	0.00	0.00	-1	
2617819807	SMP	1	0.00	0.00	0.00	0.00	-1	
2617869951	SMP	1	0.00	0.00	0.00	0.00	-1	
2617920063	SMP	1	0.00	0.00	0.00	0.00	-1	
2617969755	SMP	1	0.00	0.00	0.00	0.00	-1	
2618020131	SMP	1	0.00	0.00	0.00	0.00	-1	
2618069895	SMP	1	0.00	0.00	0.00	0.00	-1	
2618119903	SMP	1	0.00	0.00	0.00	0.00	-1	
2618169934	SMP	1	0.00	0.00	0.00	0.00	-1	
2618219854	SMP	1	0.00	0.00	0.00	0.00	-1	
2618270148	SMP	1	0.00	0.00	0.00	0.00	-1	
2618320761	SMP	1	0.00	0.00	0.00	0.00	-1	
2618370069	SMP	1	0.00	0.00	0.00	0.00	-1	
2618420031	SMP	1	0.00	0.00	0.00	0.00	-1	
2618470026	SMP	1	0.00	0.00	0.00	0.00	-1	
2618520685	SMP	1	0.00	0.00	0.00	0.00	-1	
2618570128	SMP	1	0.00	0.00	0.00	0.00	-1	
2618620223	SMP	1	0.00	0.00	0.00	0.00	-1	
2618670477	SMP	1	0.00	0.00	0.00	0.00	-1	
2618720750	SMP	1	0.00	0.00	0.00	0.00	-1	
2618770258	SMP	1	0.00	0.00	0.00	0.00	-1	
2618820290	SMP	1	0.00	0.00	0.00	0.00	-1	
2618870233	SMP	1	0.00	0.00	0.00	0.00	-1	
2618920380	SMP	1	0.00	0.00	0.00	0.00	-1	
2618970304	SMP	1	0.00	0.00	0.00	0.00	-1	
