## [iView]
## Converted from:	F:\transfer\to convert\negtracker5_3\021713_03-eye_data.idf
## Date:	17.02.2013 22:07:42
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	1554                                                                                                                                                                                                                                                            
## Reversed:	none
## [Run]
## Subject:	021713_03                                                                                                                                                                                                                                                       
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	5-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(840;525)
## Calibration Point 1:	Position(420;105)
## Calibration Point 2:	Position(1512;262)
## Calibration Point 3:	Position(1260;945)
## Calibration Point 4:	Position(167;787)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1040-05197-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
4317459097	SMP	1	0.00	0.00	0.00	0.00	-1	
4317509055	SMP	1	0.00	0.00	0.00	0.00	-1	
4317559263	SMP	1	0.00	0.00	0.00	0.00	-1	
4317609254	SMP	1	0.00	0.00	0.00	0.00	-1	
4317659268	SMP	1	0.00	0.00	0.00	0.00	-1	
4317709290	SMP	1	0.00	0.00	0.00	0.00	-1	
4317759266	SMP	1	0.00	0.00	0.00	0.00	-1	
4317809382	SMP	1	0.00	0.00	0.00	0.00	-1	
4317859414	SMP	1	0.00	0.00	0.00	0.00	-1	
4317909414	SMP	1	0.00	0.00	0.00	0.00	-1	
4317959337	SMP	1	0.00	0.00	0.00	0.00	-1	
4318009500	SMP	1	0.00	0.00	0.00	0.00	-1	
4318059426	SMP	1	0.00	0.00	0.00	0.00	-1	
4318109538	SMP	1	0.00	0.00	0.00	0.00	-1	
4318159546	SMP	1	0.00	0.00	0.00	0.00	-1	
4318209550	SMP	1	0.00	0.00	0.00	0.00	-1	
4318259496	SMP	1	0.00	0.00	0.00	0.00	-1	
4318309764	SMP	1	0.00	0.00	0.00	0.00	-1	
4318359572	SMP	1	0.00	0.00	0.00	0.00	-1	
4318409650	SMP	1	0.00	0.00	0.00	0.00	-1	
4318459608	SMP	1	0.00	0.00	0.00	0.00	-1	
4318509541	SMP	1	0.00	0.00	0.00	0.00	-1	
4318963739	MSG	1	# Message: elmo_duck.avi
4319009824	SMP	1	0.00	0.00	0.00	0.00	-1	
4319059852	SMP	1	0.00	0.00	0.00	0.00	-1	
4319109938	SMP	1	0.00	0.00	0.00	0.00	-1	
4319160158	SMP	1	0.00	0.00	0.00	0.00	-1	
4319210524	SMP	1	0.00	0.00	0.00	0.00	-1	
4319260009	SMP	1	0.00	0.00	0.00	0.00	-1	
4319310056	SMP	1	0.00	0.00	0.00	0.00	-1	
4319360058	SMP	1	0.00	0.00	0.00	0.00	-1	
4319410170	SMP	1	0.00	0.00	0.00	0.00	-1	
4319460007	SMP	1	0.00	0.00	0.00	0.00	-1	
4319510076	SMP	1	0.00	0.00	0.00	0.00	-1	
4319560474	SMP	1	0.00	0.00	0.00	0.00	-1	
4319610384	SMP	1	0.00	0.00	0.00	0.00	-1	
4319660161	SMP	1	0.00	0.00	0.00	0.00	-1	
4319710240	SMP	1	0.00	0.00	0.00	0.00	-1	
4319760207	SMP	1	0.00	0.00	0.00	0.00	-1	
4319810200	SMP	1	0.00	0.00	0.00	0.00	-1	
4319860306	SMP	1	0.00	0.00	0.00	0.00	-1	
4319910284	SMP	1	0.00	0.00	0.00	0.00	-1	
4319961098	SMP	1	0.00	0.00	0.00	0.00	-1	
4320011404	SMP	1	0.00	0.00	0.00	0.00	-1	
4320060408	SMP	1	0.00	0.00	0.00	0.00	-1	
4320110371	SMP	1	0.00	0.00	0.00	0.00	-1	
4320160443	SMP	1	0.00	0.00	0.00	0.00	-1	
4320210503	SMP	1	0.00	0.00	0.00	0.00	-1	
4320260599	SMP	1	0.00	0.00	0.00	0.00	-1	
4320310514	SMP	1	0.00	0.00	0.00	0.00	-1	
4320361274	SMP	1	0.00	0.00	0.00	0.00	-1	
