## [iView]
## Converted from:	F:\transfer\to convert\negtracker5_3\041313_04b-eye_data.idf
## Date:	13.04.2013 19:01:54
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	39908                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	041313_04b                                                                                                                                                                                                                                                      
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(335;210)
## Calibration Point 1:	Position(1343;840)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1040-05197-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
5692975212	SMP	1	623.14	376.15	623.14	376.15	-1	
5692983601	SMP	1	624.83	375.93	624.83	375.93	-1	
5692991993	SMP	1	625.24	367.44	625.24	367.44	-1	
5693000206	SMP	1	617.34	371.01	617.34	371.01	-1	
5693008552	SMP	1	612.13	372.58	612.13	372.58	-1	
5693016923	SMP	1	623.09	403.34	623.09	403.34	-1	
5693025313	SMP	1	613.41	380.79	613.41	380.79	-1	
5693033560	SMP	1	606.54	380.23	606.54	380.23	-1	
5693041934	SMP	1	603.91	398.68	603.91	398.68	-1	
5693050313	SMP	1	611.08	392.65	611.08	392.65	-1	
5693058554	SMP	1	599.35	388.84	599.35	388.84	-1	
5693066933	SMP	1	589.77	431.11	589.77	431.11	-1	
5693075301	SMP	1	591.14	401.05	591.14	401.05	-1	
5693083683	SMP	1	549.82	443.11	549.82	443.11	-1	
5693091937	SMP	1	556.87	442.53	556.87	442.53	-1	
5693100292	SMP	1	543.55	487.60	543.55	487.60	-1	
5693108713	SMP	1	546.39	474.01	546.39	474.01	-1	
5693117111	SMP	1	549.79	479.23	549.79	479.23	-1	
5693125314	SMP	1	536.52	481.77	536.52	481.77	-1	
5693133670	SMP	1	536.60	479.14	536.60	479.14	-1	
5693142102	SMP	1	533.97	484.17	533.97	484.17	-1	
5693150419	SMP	1	531.47	483.09	531.47	483.09	-1	
5693158703	SMP	1	532.08	480.02	532.08	480.02	-1	
5693167088	SMP	1	532.65	468.27	532.65	468.27	-1	
5693175457	SMP	1	536.60	457.67	536.60	457.67	-1	
