## [iView]
## Converted from:	F:\transfer\MAY30 ADULT RAW DATA\5_3\053013_02-eye_data.idf
## Date:	30.05.2013 18:21:04
## Version:	IDF Converter 3.0.14
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	59418                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	053013_02                                                                                                                                                                                                                                                       
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(335;210)
## Calibration Point 1:	Position(1343;840)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1040-05197-SMU
## Operating System :	5.1
## iView X Version:	2.8.26
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, QUALITY, MSG
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	Latency	L Validity	R Validity	Pupil Confidence	Aux1
2442496529	SMP	1	717.99	634.10	717.99	634.10	0	1864	0	0	1	
2442960935	MSG	1	# Message: elmo_duck.avi
2442963687	SMP	1	986.33	1002.92	986.33	1002.92	0	1988	0	0	1	
2442972091	SMP	1	983.77	1001.59	983.77	1001.59	0	2495	0	0	1	
2442980410	SMP	1	983.45	1001.70	983.45	1001.70	0	2567	0	0	1	
2442988808	SMP	1	990.09	1000.40	990.09	1000.40	0	1912	0	0	1	
2442997041	SMP	1	987.81	1004.44	987.81	1004.44	0	1943	0	0	1	
2443005682	SMP	1	992.72	1001.31	992.72	1001.31	0	2658	0	0	1	
2443013831	SMP	1	989.00	999.92	989.00	999.92	0	1525	0	0	1	
2443022170	SMP	1	974.73	1002.94	974.73	1002.94	0	1576	0	0	1	
2443030470	SMP	1	976.12	1004.33	976.12	1004.33	0	1557	0	0	1	
2443038811	SMP	1	972.36	1004.23	972.36	1004.23	0	2493	0	0	1	
2443047230	SMP	1	968.31	1004.72	968.31	1004.72	0	1732	0	0	1	
2443055433	SMP	1	969.66	1005.31	969.66	1005.31	0	1481	0	0	1	
2443063802	SMP	1	968.60	1007.06	968.60	1007.06	0	1370	0	0	1	
2443072216	SMP	1	968.56	1006.14	968.56	1006.14	0	2901	0	0	1	
2443080552	SMP	1	976.79	1009.93	976.79	1009.93	0	1543	0	0	1	
2443088861	SMP	1	977.41	1011.16	977.41	1011.16	0	1558	0	0	1	
2443097152	SMP	1	974.96	1009.33	974.96	1009.33	0	1756	0	0	1	
2443105589	SMP	1	893.96	1018.78	893.96	1018.78	0	2798	0	0	1	
2443113950	SMP	1	742.95	1115.14	742.95	1115.14	0	1517	0	0	1	
2443122135	SMP	1	115.45	1033.64	115.45	1033.64	0	2173	0	0	1	
2443130553	SMP	1	-76.51	1142.14	-76.51	1142.14	0	3012	0	0	1	
2443147354	SMP	1	-2.78	0.00	-2.78	0.00	0	1984	0	0	1	
2443155588	SMP	1	-1.41	0.00	-1.41	0.00	0	1578	0	0	1	
2443163936	SMP	1	-0.94	0.00	-0.94	0.00	0	1445	0	0	1	
2443172264	SMP	1	-0.70	0.00	-0.70	0.00	0	2705	0	0	1	
2443180605	SMP	1	-0.55	0.00	-0.55	0.00	0	1676	0	0	1	
2443188903	SMP	1	-0.45	0.00	-0.45	0.00	0	1438	0	0	1	
2443197264	SMP	1	-0.38	0.00	-0.38	0.00	0	1587	0	0	1	
2443206005	SMP	1	-0.32	0.00	-0.32	0.00	0	2602	0	0	1	
2443213985	SMP	1	-0.28	0.00	-0.28	0.00	0	1673	0	0	1	
2443222297	SMP	1	-0.25	0.00	-0.25	0.00	0	1601	0	0	1	
2443230703	SMP	1	0.00	0.00	0.00	0.00	0	6499	0	0	1	
2443255723	SMP	1	0.00	0.00	0.00	0.00	0	1739	0	0	1	
2443264090	SMP	1	0.00	0.00	0.00	0.00	0	1579	0	0	1	
2443272416	SMP	1	0.00	0.00	0.00	0.00	0	3181	0	0	1	
2443280750	SMP	1	0.00	0.00	0.00	0.00	0	1811	0	0	1	
2443289061	SMP	1	0.00	0.00	0.00	0.00	0	1514	0	0	1	
2443297422	SMP	1	0.00	0.00	0.00	0.00	0	1420	0	0	1	
2443306350	SMP	1	0.00	0.00	0.00	0.00	0	2986	0	0	1	
2443314101	SMP	1	0.00	0.00	0.00	0.00	0	1606	0	0	1	
2443322423	SMP	1	0.00	0.00	0.00	0.00	0	1444	0	0	1	
2443330790	SMP	1	0.00	0.00	0.00	0.00	0	1848	0	0	1	
2443339046	SMP	1	0.00	0.00	0.00	0.00	0	2189	0	0	1	
2443347468	SMP	1	0.00	0.00	0.00	0.00	0	1701	0	0	1	
2443355823	SMP	1	0.00	0.00	0.00	0.00	0	1648	0	0	1	
2443364169	SMP	1	0.00	0.00	0.00	0.00	0	1439	0	0	1	
2443372382	SMP	1	0.00	0.00	0.00	0.00	0	2761	0	0	1	
2443380850	SMP	1	361.12	1041.78	361.12	1041.78	0	1696	0	0	1	
2443389148	SMP	1	498.48	972.25	498.48	972.25	0	1427	0	0	1	
2443397560	SMP	1	530.04	848.19	530.04	848.19	0	1399	0	0	1	
2443406046	SMP	1	540.92	842.49	540.92	842.49	0	2792	0	0	1	
2443414187	SMP	1	530.71	843.79	530.71	843.79	0	1599	0	0	1	
2443422542	SMP	1	531.87	839.70	531.87	839.70	0	1355	0	0	1	
2443430919	SMP	1	536.14	837.52	536.14	837.52	0	1948	0	0	1	
2443439208	SMP	1	535.97	838.81	535.97	838.81	0	1959	0	0	1	
2443447615	SMP	1	535.39	835.89	535.39	835.89	0	1545	0	0	1	
2443455927	SMP	1	532.61	834.94	532.61	834.94	0	1538	0	0	1	
2443464196	SMP	1	526.30	838.14	526.30	838.14	0	1391	0	0	1	
2443472576	SMP	1	530.80	839.28	530.80	839.28	0	2657	0	0	1	
2443480960	SMP	1	532.43	838.10	532.43	838.10	0	1656	0	0	1	
2443489295	SMP	1	529.31	854.11	529.31	854.11	0	2046	0	0	1	
2443497573	SMP	1	532.16	839.26	532.16	839.26	0	1728	0	0	1	
2443506492	SMP	1	534.16	834.71	534.16	834.71	0	2955	0	0	1	
2443514354	SMP	1	537.90	835.94	537.90	835.94	0	1553	0	0	1	
2443522678	SMP	1	553.66	837.69	553.66	837.69	0	1411	0	0	1	
2443530920	SMP	1	570.47	833.29	570.47	833.29	0	1560	0	0	1	
2443539282	SMP	1	539.62	837.00	539.62	837.00	0	1615	0	0	1	
2443547724	SMP	1	543.61	840.73	543.61	840.73	0	1518	0	0	1	
2443556026	SMP	1	549.40	840.57	549.40	840.57	0	2212	0	0	1	
2443564354	SMP	1	556.94	839.14	556.94	839.14	0	1585	0	0	1	
2443572708	SMP	1	557.35	839.86	557.35	839.86	0	2842	0	0	1	
2443581099	SMP	1	552.82	838.46	552.82	838.46	0	1680	0	0	1	
2443589439	SMP	1	545.13	842.82	545.13	842.82	0	1446	0	0	1	
2443597678	SMP	1	547.56	843.47	547.56	843.47	0	1745	0	0	1	
2443606021	SMP	1	561.72	840.13	561.72	840.13	0	3011	0	0	1	
2443614433	SMP	1	572.39	838.66	572.39	838.66	0	1802	0	0	1	
2443622749	SMP	1	551.86	841.05	551.86	841.05	0	2175	0	0	1	
2443631082	SMP	1	546.86	841.85	546.86	841.85	0	1953	0	0	1	
2443639464	SMP	1	552.26	839.59	552.26	839.59	0	2572	0	0	1	
2443647848	SMP	1	554.88	838.18	554.88	838.18	0	6775	0	0	1	
2443672802	SMP	1	555.05	834.21	555.05	834.21	0	3127	0	0	1	
2443681331	SMP	1	550.61	833.84	550.61	833.84	0	2060	0	0	1	
2443689446	SMP	1	555.84	833.47	555.84	833.47	0	1406	0	0	1	
2443697773	SMP	1	553.89	831.07	553.89	831.07	0	1506	0	0	1	
2443707223	SMP	1	556.73	828.83	556.73	828.83	0	2032	0	0	1	
2443714603	SMP	1	556.19	827.83	556.19	827.83	0	1480	0	0	1	
2443722789	SMP	1	554.91	825.83	554.91	825.83	0	1553	0	0	1	
2443731202	SMP	1	556.72	821.28	556.72	821.28	0	1475	0	0	1	
2443739527	SMP	1	560.04	819.13	560.04	819.13	0	2444	0	0	1	
2443747845	SMP	1	561.82	814.12	561.82	814.12	0	1728	0	0	1	
2443756227	SMP	1	561.83	814.38	561.83	814.38	0	1513	0	0	1	
2443764563	SMP	1	566.30	817.13	566.30	817.13	0	1423	0	0	1	
2443773115	SMP	1	567.47	816.91	567.47	816.91	0	3117	0	0	1	
2443781225	SMP	1	575.54	816.86	575.54	816.86	0	1589	0	0	1	
2443789518	SMP	1	576.93	823.82	576.93	823.82	0	1424	0	0	1	
2443797913	SMP	1	580.53	814.87	580.53	814.87	0	1540	0	0	1	
2443806375	SMP	1	607.98	758.46	607.98	758.46	0	2769	0	0	1	
2443814550	SMP	1	701.20	716.67	701.20	716.67	0	1550	0	0	1	
2443822914	SMP	1	609.03	697.06	609.03	697.06	0	1521	0	0	1	
2443831308	SMP	1	706.31	684.34	706.31	684.34	0	1392	0	0	1	
2443839703	SMP	1	686.13	689.63	686.13	689.63	0	2611	0	0	1	
2443847965	SMP	1	690.54	688.81	690.54	688.81	0	2206	0	0	1	
2443856313	SMP	1	691.24	691.91	691.24	691.91	0	1475	0	0	1	
2443864723	SMP	1	692.38	688.40	692.38	688.40	0	2054	0	0	1	
2443873639	SMP	1	679.16	695.24	679.16	695.24	0	2770	0	0	1	
2443881339	SMP	1	681.36	715.98	681.36	715.98	0	1513	0	0	1	
2443889661	SMP	1	681.75	696.88	681.75	696.88	0	1414	0	0	1	
2443898040	SMP	1	693.10	711.10	693.10	711.10	0	1552	0	0	1	
2443906321	SMP	1	700.35	705.95	700.35	705.95	0	2954	0	0	1	
2443914681	SMP	1	697.82	697.65	697.82	697.65	0	1508	0	0	1	
2443923030	SMP	1	704.07	703.57	704.07	703.57	0	1516	0	0	1	
2443931559	SMP	1	711.38	715.91	711.38	715.91	0	1824	0	0	1	
2443939655	SMP	1	712.36	711.30	712.36	711.30	0	2784	0	0	1	
2443948086	SMP	1	716.17	709.63	716.17	709.63	0	2067	0	0	1	
2443956434	SMP	1	713.99	718.25	713.99	718.25	0	1420	0	0	1	
2443964794	SMP	1	711.82	716.44	711.82	716.44	0	1420	0	0	1	
2443973450	SMP	1	587.50	772.72	587.50	772.72	0	2749	0	0	1	
2443981463	SMP	1	0.00	0.00	0.00	0.00	0	1508	0	0	0	
2443989781	SMP	1	0.00	0.00	0.00	0.00	0	6928	0	0	0	
2444014842	SMP	1	0.00	0.00	0.00	0.00	0	2058	0	0	0	
2444023190	SMP	1	0.00	0.00	0.00	0.00	0	1823	0	0	0	
2444031369	SMP	1	0.00	0.00	0.00	0.00	0	2206	0	0	1	
2444048755	SMP	1	0.00	0.00	0.00	0.00	0	2253	0	0	0	
2444056596	SMP	1	1199.45	650.27	1199.45	650.27	0	1485	0	0	0	
2444064845	SMP	1	716.11	612.19	716.11	612.19	0	2214	0	0	1	
2444081556	SMP	1	718.11	620.21	718.11	620.21	0	3394	0	0	1	
2444089961	SMP	1	717.44	610.72	717.44	610.72	0	1591	0	0	1	
2444098157	SMP	1	682.65	597.69	682.65	597.69	0	7142	0	0	1	
2444123366	SMP	1	668.05	615.27	668.05	615.27	0	1516	0	0	1	
2444131532	SMP	1	669.76	610.93	669.76	610.93	0	1478	0	0	1	
2444139960	SMP	1	671.02	612.60	671.02	612.60	0	1513	0	0	1	
2444148330	SMP	1	676.97	613.60	676.97	613.60	0	1657	0	0	1	
2444156511	SMP	1	672.90	618.74	672.90	618.74	0	1527	0	0	1	
