## [iView]
## Converted from:	F:\transfer\to convert\negtracker5_3\121312_04-eye_data.idf
## Date:	13.12.2012 20:05:26
## Version:	IDF Converter 3.0.16
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	886                                                                                                                                                                                                                                                             
## Reversed:	none
## [Run]
## Subject:	121312_04                                                                                                                                                                                                                                                       
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(335;210)
## Calibration Point 1:	Position(1343;840)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1040-05197-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
5730751926	SMP	1	0.00	0.00	0.00	0.00	-1	
5730801995	SMP	1	0.00	0.00	0.00	0.00	-1	
5730852070	SMP	1	0.00	0.00	0.00	0.00	-1	
5730902025	SMP	1	0.00	0.00	0.00	0.00	-1	
5730952063	SMP	1	0.00	0.00	0.00	0.00	-1	
5731002017	SMP	1	0.00	0.00	0.00	0.00	-1	
5731052142	SMP	1	0.00	0.00	0.00	0.00	-1	
5731102216	SMP	1	0.00	0.00	0.00	0.00	-1	
5731152178	SMP	1	0.00	0.00	0.00	0.00	-1	
5731202135	SMP	1	0.00	0.00	0.00	0.00	-1	
5731252196	SMP	1	0.00	0.00	0.00	0.00	-1	
5731302219	SMP	1	0.00	0.00	0.00	0.00	-1	
5731352377	SMP	1	0.00	0.00	0.00	0.00	-1	
5731402268	SMP	1	0.00	0.00	0.00	0.00	-1	
5731452287	SMP	1	0.00	0.00	0.00	0.00	-1	
5731502230	SMP	1	0.00	0.00	0.00	0.00	-1	
5731552306	SMP	1	0.00	0.00	0.00	0.00	-1	
5731602479	SMP	1	0.00	0.00	0.00	0.00	-1	
5731652437	SMP	1	0.00	0.00	0.00	0.00	-1	
5731702452	SMP	1	0.00	0.00	0.00	0.00	-1	
5731752504	SMP	1	0.00	0.00	0.00	0.00	-1	
5731802375	SMP	1	0.00	0.00	0.00	0.00	-1	
5731852566	SMP	1	0.00	0.00	0.00	0.00	-1	
5731902501	SMP	1	0.00	0.00	0.00	0.00	-1	
5732340447	MSG	1	# Message: elmo_duck.avi
5732352731	SMP	1	0.00	0.00	0.00	0.00	-1	
5732402736	SMP	1	0.00	0.00	0.00	0.00	-1	
5732452690	SMP	1	0.00	0.00	0.00	0.00	-1	
5732502823	SMP	1	0.00	0.00	0.00	0.00	-1	
5732552860	SMP	1	0.00	0.00	0.00	0.00	-1	
5732603004	SMP	1	0.00	0.00	0.00	0.00	-1	
5732652855	SMP	1	0.00	0.00	0.00	0.00	-1	
5732702901	SMP	1	0.00	0.00	0.00	0.00	-1	
5732752879	SMP	1	0.00	0.00	0.00	0.00	-1	
5732802872	SMP	1	0.00	0.00	0.00	0.00	-1	
5732853001	SMP	1	0.00	0.00	0.00	0.00	-1	
5732903322	SMP	1	0.00	0.00	0.00	0.00	-1	
5732953158	SMP	1	0.00	0.00	0.00	0.00	-1	
5733003003	SMP	1	0.00	0.00	0.00	0.00	-1	
5733053158	SMP	1	0.00	0.00	0.00	0.00	-1	
5733103203	SMP	1	0.00	0.00	0.00	0.00	-1	
5733153120	SMP	1	0.00	0.00	0.00	0.00	-1	
5733203340	SMP	1	0.00	0.00	0.00	0.00	-1	
5733253127	SMP	1	0.00	0.00	0.00	0.00	-1	
5733303610	SMP	1	0.00	0.00	0.00	0.00	-1	
5733353250	SMP	1	0.00	0.00	0.00	0.00	-1	
5733403400	SMP	1	0.00	0.00	0.00	0.00	-1	
5733453200	SMP	1	0.00	0.00	0.00	0.00	-1	
5733503215	SMP	1	0.00	0.00	0.00	0.00	-1	
5733553337	SMP	1	0.00	0.00	0.00	0.00	-1	
5733603592	SMP	1	0.00	0.00	0.00	0.00	-1	
5733653312	SMP	1	0.00	0.00	0.00	0.00	-1	
5733703685	SMP	1	0.00	0.00	0.00	0.00	-1	
5733753354	SMP	1	0.00	0.00	0.00	0.00	-1	
5733803446	SMP	1	0.00	0.00	0.00	0.00	-1	
5733853479	SMP	1	0.00	0.00	0.00	0.00	-1	
5733903454	SMP	1	0.00	0.00	0.00	0.00	-1	
5733953474	SMP	1	0.00	0.00	0.00	0.00	-1	
5734003471	SMP	1	0.00	0.00	0.00	0.00	-1	
5734053615	SMP	1	0.00	0.00	0.00	0.00	-1	
5734103925	SMP	1	0.00	0.00	0.00	0.00	-1	
5734153683	SMP	1	0.00	0.00	0.00	0.00	-1	
5734203692	SMP	1	0.00	0.00	0.00	0.00	-1	
5734253583	SMP	1	0.00	0.00	0.00	0.00	-1	
5734303694	SMP	1	0.00	0.00	0.00	0.00	-1	
5734353715	SMP	1	0.00	0.00	0.00	0.00	-1	
5734403769	SMP	1	0.00	0.00	0.00	0.00	-1	
5734453937	SMP	1	0.00	0.00	0.00	0.00	-1	
5734503912	SMP	1	0.00	0.00	0.00	0.00	-1	
5734553927	SMP	1	0.00	0.00	0.00	0.00	-1	
5734603826	SMP	1	0.00	0.00	0.00	0.00	-1	
5734653868	SMP	1	0.00	0.00	0.00	0.00	-1	
5734703846	SMP	1	0.00	0.00	0.00	0.00	-1	
5734754319	SMP	1	0.00	0.00	0.00	0.00	-1	
5734803939	SMP	1	0.00	0.00	0.00	0.00	-1	
5734853901	SMP	1	0.00	0.00	0.00	0.00	-1	
5734904154	SMP	1	0.00	0.00	0.00	0.00	-1	
5734953977	SMP	1	0.00	0.00	0.00	0.00	-1	
5735003956	SMP	1	0.00	0.00	0.00	0.00	-1	
5735054035	SMP	1	0.00	0.00	0.00	0.00	-1	
5735104055	SMP	1	0.00	0.00	0.00	0.00	-1	
5735154132	SMP	1	0.00	0.00	0.00	0.00	-1	
5735204070	SMP	1	0.00	0.00	0.00	0.00	-1	
5735254019	SMP	1	0.00	0.00	0.00	0.00	-1	
5735304271	SMP	1	0.00	0.00	0.00	0.00	-1	
5735354463	SMP	1	0.00	0.00	0.00	0.00	-1	
5735404594	SMP	1	0.00	0.00	0.00	0.00	-1	
5735454170	SMP	1	0.00	0.00	0.00	0.00	-1	
5735504172	SMP	1	0.00	0.00	0.00	0.00	-1	
5735554346	SMP	1	0.00	0.00	0.00	0.00	-1	
5735604414	SMP	1	0.00	0.00	0.00	0.00	-1	
5735654368	SMP	1	0.00	0.00	0.00	0.00	-1	
5735704335	SMP	1	0.00	0.00	0.00	0.00	-1	
5735754472	SMP	1	0.00	0.00	0.00	0.00	-1	
5735804392	SMP	1	0.00	0.00	0.00	0.00	-1	
5735854675	SMP	1	0.00	0.00	0.00	0.00	-1	
5735904425	SMP	1	0.00	0.00	0.00	0.00	-1	
5735954459	SMP	1	0.00	0.00	0.00	0.00	-1	
5736004543	SMP	1	0.00	0.00	0.00	0.00	-1	
5736054603	SMP	1	0.00	0.00	0.00	0.00	-1	
5736104572	SMP	1	0.00	0.00	0.00	0.00	-1	
5736154569	SMP	1	0.00	0.00	0.00	0.00	-1	
5736204653	SMP	1	0.00	0.00	0.00	0.00	-1	
5736254644	SMP	1	0.00	0.00	0.00	0.00	-1	
5736304626	SMP	1	0.00	0.00	0.00	0.00	-1	
5736354709	SMP	1	0.00	0.00	0.00	0.00	-1	
5736404727	SMP	1	0.00	0.00	0.00	0.00	-1	
5736454807	SMP	1	0.00	0.00	0.00	0.00	-1	
5736504961	SMP	1	0.00	0.00	0.00	0.00	-1	
5736554877	SMP	1	0.00	0.00	0.00	0.00	-1	
5736604802	SMP	1	0.00	0.00	0.00	0.00	-1	
5736654793	SMP	1	0.00	0.00	0.00	0.00	-1	
5736704791	SMP	1	0.00	0.00	0.00	0.00	-1	
5736754685	SMP	1	0.00	0.00	0.00	0.00	-1	
5736804889	SMP	1	0.00	0.00	0.00	0.00	-1	
5736854983	SMP	1	0.00	0.00	0.00	0.00	-1	
5736904951	SMP	1	0.00	0.00	0.00	0.00	-1	
5736954927	SMP	1	0.00	0.00	0.00	0.00	-1	
5737004965	SMP	1	0.00	0.00	0.00	0.00	-1	
5737055022	SMP	1	0.00	0.00	0.00	0.00	-1	
5737104972	SMP	1	0.00	0.00	0.00	0.00	-1	
5737154991	SMP	1	0.00	0.00	0.00	0.00	-1	
5737205014	SMP	1	0.00	0.00	0.00	0.00	-1	
5737254983	SMP	1	0.00	0.00	0.00	0.00	-1	
5737305155	SMP	1	0.00	0.00	0.00	0.00	-1	
5737355161	SMP	1	0.00	0.00	0.00	0.00	-1	
5737405178	SMP	1	0.00	0.00	0.00	0.00	-1	
5737455098	SMP	1	0.00	0.00	0.00	0.00	-1	
5737505133	SMP	1	0.00	0.00	0.00	0.00	-1	
5737555434	SMP	1	0.00	0.00	0.00	0.00	-1	
5737605581	SMP	1	0.00	0.00	0.00	0.00	-1	
5737655230	SMP	1	0.00	0.00	0.00	0.00	-1	
5737705370	SMP	1	0.00	0.00	0.00	0.00	-1	
5737755330	SMP	1	0.00	0.00	0.00	0.00	-1	
5737805509	SMP	1	0.00	0.00	0.00	0.00	-1	
5737855353	SMP	1	0.00	0.00	0.00	0.00	-1	
5737905367	SMP	1	0.00	0.00	0.00	0.00	-1	
5737955529	SMP	1	0.00	0.00	0.00	0.00	-1	
5738005458	SMP	1	0.00	0.00	0.00	0.00	-1	
5738055551	SMP	1	0.00	0.00	0.00	0.00	-1	
5738105869	SMP	1	0.00	0.00	0.00	0.00	-1	
5738155561	SMP	1	0.00	0.00	0.00	0.00	-1	
5738205608	SMP	1	0.00	0.00	0.00	0.00	-1	
5738255565	SMP	1	0.00	0.00	0.00	0.00	-1	
5738305605	SMP	1	0.00	0.00	0.00	0.00	-1	
5738355650	SMP	1	0.00	0.00	0.00	0.00	-1	
5738405887	SMP	1	0.00	0.00	0.00	0.00	-1	
5738455796	SMP	1	0.00	0.00	0.00	0.00	-1	
5738505926	SMP	1	0.00	0.00	0.00	0.00	-1	
5738555887	SMP	1	0.00	0.00	0.00	0.00	-1	
5738605867	SMP	1	0.00	0.00	0.00	0.00	-1	
5738655748	SMP	1	0.00	0.00	0.00	0.00	-1	
5738705791	SMP	1	0.00	0.00	0.00	0.00	-1	
5738755789	SMP	1	0.00	0.00	0.00	0.00	-1	
5738805875	SMP	1	0.00	0.00	0.00	0.00	-1	
5738855927	SMP	1	0.00	0.00	0.00	0.00	-1	
5738905998	SMP	1	0.00	0.00	0.00	0.00	-1	
5738956354	SMP	1	0.00	0.00	0.00	0.00	-1	
5739005965	SMP	1	0.00	0.00	0.00	0.00	-1	
5739055929	SMP	1	0.00	0.00	0.00	0.00	-1	
5739106053	SMP	1	0.00	0.00	0.00	0.00	-1	
5739156247	SMP	1	0.00	0.00	0.00	0.00	-1	
5739205928	SMP	1	0.00	0.00	0.00	0.00	-1	
5739256030	SMP	1	0.00	0.00	0.00	0.00	-1	
5739306111	SMP	1	0.00	0.00	0.00	0.00	-1	
5739356180	SMP	1	0.00	0.00	0.00	0.00	-1	
5739406122	SMP	1	0.00	0.00	0.00	0.00	-1	
5739456212	SMP	1	0.00	0.00	0.00	0.00	-1	
5739506207	SMP	1	0.00	0.00	0.00	0.00	-1	
5739556197	SMP	1	0.00	0.00	0.00	0.00	-1	
5739606260	SMP	1	0.00	0.00	0.00	0.00	-1	
5739656256	SMP	1	0.00	0.00	0.00	0.00	-1	
5739706245	SMP	1	0.00	0.00	0.00	0.00	-1	
5739756395	SMP	1	0.00	0.00	0.00	0.00	-1	
5739806340	SMP	1	0.00	0.00	0.00	0.00	-1	
