## [iView]
## Converted from:	F:\transfer\JUNE13 RAW DATA\5_4\061313_07-eye_data.idf
## Date:	13.06.2013 21:09:56
## Version:	IDF Converter 3.0.14
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	47881                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	061313_07                                                                                                                                                                                                                                                       
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(335;210)
## Calibration Point 1:	Position(1343;840)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1140-06110-SMU
## Operating System :	5.1
## iView X Version:	2.7.13
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, QUALITY, MSG
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	Latency	L Validity	R Validity	Pupil Confidence	Aux1
14191963947	SMP	1	596.99	483.48	596.99	483.48	0	2173	0	0	1	
14191972331	SMP	1	608.66	454.96	608.66	454.96	0	2010	0	0	1	
14191980698	SMP	1	611.04	480.53	611.04	480.53	0	1845	0	0	1	
14191988925	SMP	1	614.35	443.20	614.35	443.20	0	1923	0	0	1	
14191997296	SMP	1	613.31	443.28	613.31	443.28	0	1688	0	0	1	
14192005653	SMP	1	630.24	434.91	630.24	434.91	0	1600	0	0	1	
14192013933	SMP	1	634.55	430.58	634.55	430.58	0	1749	0	0	1	
14192022314	SMP	1	639.25	440.86	639.25	440.86	0	1494	0	0	1	
14192030669	SMP	1	640.90	442.90	640.90	442.90	0	1757	0	0	1	
14192039040	SMP	1	650.08	448.48	650.08	448.48	0	2024	0	0	1	
14192047293	SMP	1	634.18	448.25	634.18	448.25	0	1816	0	0	1	
14192055668	SMP	1	654.15	439.80	654.15	439.80	0	1769	0	0	1	
14192064034	SMP	1	647.47	446.42	647.47	446.42	0	1750	0	0	1	
14192072432	SMP	1	653.42	452.18	653.42	452.18	0	1561	0	0	1	
14192080663	SMP	1	655.07	457.51	655.07	457.51	0	6790	0	0	1	
