## [iView]
## Converted from:	F:\transfer\JUNE ADULT RAW DATA\5_4\061813_03-eye_data.idf
## Date:	18.06.2013 23:34:46
## Version:	IDF Converter 3.0.14
## IDF Version:	9
## Sample Rate:	120
## Separator Type:	Msg
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	62557                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject:	061813_03                                                                                                                                                                                                                                                       
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Type:	2-point
## Calibration Area:	1680	1050
## Calibration Point 0:	Position(335;210)
## Calibration Point 1:	Position(1343;840)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1040-05197-SMU
## Operating System :	5.1
## iView X Version:	2.8.26
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, RIGHT, POR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Frame	Aux1
85872670930	SMP	1	1732.66	657.95	1732.66	657.95	-1	
85872679333	SMP	1	1739.09	659.44	1739.09	659.44	-1	
85872687664	SMP	1	1758.81	658.27	1758.81	658.27	-1	
85872695919	SMP	1	1735.25	658.91	1735.25	658.91	-1	
85872704250	SMP	1	1729.96	659.72	1729.96	659.72	-1	
85872712608	SMP	1	1732.59	660.10	1732.59	660.10	-1	
85872720975	SMP	1	1734.23	662.02	1734.23	662.02	-1	
85872729246	SMP	1	1742.26	665.41	1742.26	665.41	-1	
85872737595	SMP	1	1822.68	669.53	1822.68	669.53	-1	
85872745975	SMP	1	1819.75	679.39	1819.75	679.39	-1	
85872754216	SMP	1	1752.22	665.53	1752.22	665.53	-1	
85872762604	SMP	1	1749.63	664.68	1749.63	664.68	-1	
85872771002	SMP	1	1748.09	664.92	1748.09	664.92	-1	
85872779369	SMP	1	1757.40	672.97	1757.40	672.97	-1	
85872787632	SMP	1	1795.51	682.29	1795.51	682.29	-1	
85872795986	SMP	1	1815.19	686.03	1815.19	686.03	-1	
85872804378	SMP	1	1760.57	667.56	1760.57	667.56	-1	
85872812741	SMP	1	1757.61	668.93	1757.61	668.93	-1	
85872820983	SMP	1	1764.60	670.08	1764.60	670.08	-1	
85872837790	SMP	1	1762.93	670.07	1762.93	670.07	-1	
85872846169	SMP	1	1761.30	664.10	1761.30	664.10	-1	
85872854407	SMP	1	1760.54	668.22	1760.54	668.22	-1	
85872862769	SMP	1	1761.19	669.50	1761.19	669.50	-1	
85872871110	SMP	1	1762.37	670.10	1762.37	670.10	-1	
85872879478	SMP	1	1764.14	672.09	1764.14	672.09	-1	
85872887763	SMP	1	1759.75	671.37	1759.75	671.37	-1	
85872896097	SMP	1	1760.65	669.14	1760.65	669.14	-1	
85872904518	SMP	1	1762.80	670.25	1762.80	670.25	-1	
85872912748	SMP	1	1761.10	669.62	1761.10	669.62	-1	
85872921141	SMP	1	1758.46	670.08	1758.46	670.08	-1	
85872929515	SMP	1	1759.51	668.85	1759.51	668.85	-1	
85872937894	SMP	1	1759.69	672.54	1759.69	672.54	-1	
85872946145	SMP	1	1760.61	671.80	1760.61	671.80	-1	
85872954521	SMP	1	1760.62	670.60	1760.62	670.60	-1	
85872962857	SMP	1	1759.76	672.35	1759.76	672.35	-1	
85872971210	SMP	1	1759.04	672.14	1759.04	672.14	-1	
85872979473	SMP	1	1758.83	670.17	1758.83	670.17	-1	
85872987855	SMP	1	1757.56	670.17	1757.56	670.17	-1	
85872996231	SMP	1	1757.15	669.49	1757.15	669.49	-1	
85873004604	SMP	1	1710.22	667.47	1710.22	667.47	-1	
85873012837	SMP	1	1689.74	666.47	1689.74	666.47	-1	
85873021213	SMP	1	1697.52	668.14	1697.52	668.14	-1	
85873029597	SMP	1	1690.67	665.69	1690.67	665.69	-1	
85873037844	SMP	1	1703.49	665.88	1703.49	665.88	-1	
85873046212	SMP	1	1756.18	667.53	1756.18	667.53	-1	
85873054592	SMP	1	1761.57	670.68	1761.57	670.68	-1	
85873062962	SMP	1	1761.62	670.80	1761.62	670.80	-1	
85873071217	SMP	1	1697.04	669.56	1697.04	669.56	-1	
85873079587	SMP	1	1756.10	669.82	1756.10	669.82	-1	
85873087958	SMP	1	1742.13	671.06	1742.13	671.06	-1	
85873096345	SMP	1	1744.99	671.09	1744.99	671.09	-1	
85873104601	SMP	1	1688.44	672.16	1688.44	672.16	-1	
85873112973	SMP	1	1691.15	669.64	1691.15	669.64	-1	
85873121356	SMP	1	1726.44	663.93	1726.44	663.93	-1	
85873129712	SMP	1	0.00	0.00	0.00	0.00	-1	
85873137970	SMP	1	0.00	0.00	0.00	0.00	-1	
85873146334	SMP	1	0.00	0.00	0.00	0.00	-1	
85873154725	SMP	1	0.00	0.00	0.00	0.00	-1	
85873163130	SMP	1	0.00	0.00	0.00	0.00	-1	
85873171410	SMP	1	0.00	0.00	0.00	0.00	-1	
85873179814	SMP	1	0.00	0.00	0.00	0.00	-1	
85873188153	SMP	1	0.00	0.00	0.00	0.00	-1	
85873196388	SMP	1	0.00	0.00	0.00	0.00	-1	
85873204805	SMP	1	0.00	0.00	0.00	0.00	-1	
85873213207	SMP	1	0.00	0.00	0.00	0.00	-1	
85873221558	SMP	1	0.00	0.00	0.00	0.00	-1	
85873229790	SMP	1	0.00	0.00	0.00	0.00	-1	
85873238156	SMP	1	0.00	0.00	0.00	0.00	-1	
85873246564	SMP	1	0.00	0.00	0.00	0.00	-1	
85873254890	SMP	1	0.00	0.00	0.00	0.00	-1	
85873263107	SMP	1	0.00	0.00	0.00	0.00	-1	
85873279858	SMP	1	0.00	0.00	0.00	0.00	-1	
85873288217	SMP	1	0.00	0.00	0.00	0.00	-1	
85873296511	SMP	1	0.00	0.00	0.00	0.00	-1	
85873321518	SMP	1	0.00	0.00	0.00	0.00	-1	
85873329868	SMP	1	0.00	0.00	0.00	0.00	-1	
85873338230	SMP	1	1845.56	669.37	1845.56	669.37	-1	
85873354863	SMP	1	0.00	0.00	0.00	0.00	-1	
85873363232	SMP	1	0.00	0.00	0.00	0.00	-1	
85873371612	SMP	1	0.00	0.00	0.00	0.00	-1	
85873396656	SMP	1	0.00	0.00	0.00	0.00	-1	
85873405015	SMP	1	0.00	0.00	0.00	0.00	-1	
85873413379	SMP	1	0.00	0.00	0.00	0.00	-1	
85873438400	SMP	1	0.00	0.00	0.00	0.00	-1	
85873446644	SMP	1	1796.36	875.41	1796.36	875.41	-1	
85873455008	SMP	1	884.12	1147.56	884.12	1147.56	-1	
85873471760	SMP	1	897.99	425.64	897.99	425.64	-1	
85873480019	SMP	1	909.85	555.04	909.85	555.04	-1	
85873488375	SMP	1	935.33	471.97	935.33	471.97	-1	
85873505130	SMP	1	960.86	434.14	960.86	434.14	-1	
85873513373	SMP	1	1053.68	439.90	1053.68	439.90	-1	
85873521801	SMP	1	1060.58	444.20	1060.58	444.20	-1	
85873538578	SMP	1	1063.66	445.51	1063.66	445.51	-1	
85873546811	SMP	1	1002.90	429.83	1002.90	429.83	-1	
85873555156	SMP	1	999.15	425.07	999.15	425.07	-1	
85873563550	SMP	1	996.90	423.16	996.90	423.16	-1	
85873571826	SMP	1	996.81	419.53	996.81	419.53	-1	
85873580149	SMP	1	979.86	417.67	979.86	417.67	-1	
85873588491	SMP	1	998.89	417.52	998.89	417.52	-1	
85873596877	SMP	1	997.63	412.45	997.63	412.45	-1	
85873605117	SMP	1	1064.41	431.82	1064.41	431.82	-1	
85873621888	SMP	1	987.41	414.92	987.41	414.92	-1	
85873630244	SMP	1	982.44	415.47	982.44	415.47	-1	
85873638527	SMP	1	1007.30	415.40	1007.30	415.40	-1	
85873663650	SMP	1	1000.48	466.32	1000.48	466.32	-1	
85873671893	SMP	1	963.24	481.36	963.24	481.36	-1	
85873680240	SMP	1	870.37	451.61	870.37	451.61	-1	
85873697019	SMP	1	854.16	458.00	854.16	458.00	-1	
85873705265	SMP	1	885.17	463.09	885.17	463.09	-1	
85873713629	SMP	1	914.38	465.89	914.38	465.89	-1	
85873721958	SMP	1	898.26	470.66	898.26	470.66	-1	
85873730266	SMP	1	867.57	475.02	867.57	475.02	-1	
85873738632	SMP	1	864.27	478.17	864.27	478.17	-1	
85873747031	SMP	1	856.68	477.15	856.68	477.15	-1	
85873755392	SMP	1	855.24	480.23	855.24	480.23	-1	
85873772020	SMP	1	866.96	477.90	866.96	477.90	-1	
85873780386	SMP	1	853.10	466.63	853.10	466.63	-1	
85873788707	SMP	1	854.22	477.22	854.22	477.22	-1	
85873797112	SMP	1	858.85	475.81	858.85	475.81	-1	
85873805349	SMP	1	858.15	474.61	858.15	474.61	-1	
85873813715	SMP	1	855.89	476.00	855.89	476.00	-1	
85873822097	SMP	1	855.34	478.69	855.34	478.69	-1	
85873830392	SMP	1	856.15	479.18	856.15	479.18	-1	
85873838797	SMP	1	856.44	479.21	856.44	479.21	-1	
85873847180	SMP	1	858.49	480.38	858.49	480.38	-1	
85873855412	SMP	1	860.00	480.40	860.00	480.40	-1	
85873863788	SMP	1	858.66	482.95	858.66	482.95	-1	
85873872147	SMP	1	859.42	484.81	859.42	484.81	-1	
85873880517	SMP	1	860.77	486.39	860.77	486.39	-1	
85873888792	SMP	1	860.40	486.22	860.40	486.22	-1	
85873897161	SMP	1	860.54	487.68	860.54	487.68	-1	
85873905554	SMP	1	860.24	489.23	860.24	489.23	-1	
85873913937	SMP	1	861.76	489.61	861.76	489.61	-1	
85873922234	SMP	1	861.10	490.40	861.10	490.40	-1	
85874589451	MSG	1	# Message: elmo_duck1.avi
85874589490	SMP	1	886.78	511.74	886.78	511.74	-1	
85874597900	SMP	1	886.84	511.67	886.84	511.67	-1	
85874606283	SMP	1	885.16	512.85	885.16	512.85	-1	
85874614529	SMP	1	884.39	513.05	884.39	513.05	-1	
85874622882	SMP	1	884.00	514.05	884.00	514.05	-1	
85874631348	SMP	1	884.75	515.72	884.75	515.72	-1	
85874639625	SMP	1	886.23	517.32	886.23	517.32	-1	
85874647900	SMP	1	894.37	517.23	894.37	517.23	-1	
85874656285	SMP	1	902.12	517.80	902.12	517.80	-1	
85874664639	SMP	1	909.95	516.56	909.95	516.56	-1	
85874672871	SMP	1	911.33	516.28	911.33	516.28	-1	
85874681790	SMP	1	919.03	515.42	919.03	515.42	-1	
85874689658	SMP	1	919.34	516.16	919.34	516.16	-1	
85874698123	SMP	1	922.46	514.58	922.46	514.58	-1	
85874706286	SMP	1	925.34	513.30	925.34	513.30	-1	
85874714642	SMP	1	925.55	512.57	925.55	512.57	-1	
85874723023	SMP	1	927.51	510.84	927.51	510.84	-1	
85874731412	SMP	1	928.33	509.57	928.33	509.57	-1	
85874739587	SMP	1	928.25	508.15	928.25	508.15	-1	
85874748325	SMP	1	927.67	506.16	927.67	506.16	-1	
85874756408	SMP	1	925.76	505.13	925.76	505.13	-1	
85874764797	SMP	1	917.01	501.80	917.01	501.80	-1	
85874773042	SMP	1	916.39	502.67	916.39	502.67	-1	
85874781400	SMP	1	877.35	537.46	877.35	537.46	-1	
85874789772	SMP	1	720.84	678.00	720.84	678.00	-1	
85874806421	SMP	1	433.09	911.81	433.09	911.81	-1	
85874815034	SMP	1	404.28	924.55	404.28	924.55	-1	
85874823146	SMP	1	395.64	951.56	395.64	951.56	-1	
85874848870	SMP	1	408.08	953.25	408.08	953.25	-1	
85874856544	SMP	1	409.48	951.14	409.48	951.14	-1	
85874864769	SMP	1	403.64	946.19	403.64	946.19	-1	
85874873122	SMP	1	400.74	945.81	400.74	945.81	-1	
85874881719	SMP	1	398.65	943.40	398.65	943.40	-1	
85874889917	SMP	1	386.17	942.69	386.17	942.69	-1	
85874898105	SMP	1	402.18	945.99	402.18	945.99	-1	
85874914892	SMP	1	406.79	948.14	406.79	948.14	-1	
85874923264	SMP	1	372.40	949.32	372.40	949.32	-1	
85874931527	SMP	1	368.50	950.98	368.50	950.98	-1	
85874956552	SMP	1	411.34	942.52	411.34	942.52	-1	
85874964904	SMP	1	414.45	939.54	414.45	939.54	-1	
85874973281	SMP	1	418.66	936.99	418.66	936.99	-1	
85874989944	SMP	1	426.01	940.89	426.01	940.89	-1	
85874998244	SMP	1	425.51	939.33	425.51	939.33	-1	
