study NAme,subid,study version,gender,hisp,ethnicity,english,numlang,parented,othered,premie,age,agegroup,exclude
negtracker,101112_01,5_1,female,yes,other,100,1,4,3,no,3.4,3,0
negtracker,101112_02,5_1,male,no,other,90,3,4,6,no,1.9,1,0
negtracker,101112_03,5_1,male,yes,white,50,2,4,4,no,2,2,1
negtracker,101112_04,5_1,female,no,asian,75,2,4,3,no,2.7,2,0
negtracker,101112_05,5_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
negtracker,101112_06,5_1,male,no,white,100,1,4,4,no,1.3,1,0
negtracker,101112_07,5_1,female,no,asian,100,1,4,NA,no,3.1,3,0
negtracker,101812_01,5_1,female,no,asian,75,4,4,6,no,3,2,0
negtracker,101812_02,5_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
negtracker,101812_03,5_1,female,no,asian,90,1,6,6,no,2.6,2,2
negtracker,101812_04,5_1,male,NA,white,90,2,6,6,no,2.5,2,0
negtracker,101812_05,5_1,female,no,white,100,2,6,6,yes,2.9,2,0
negtracker,101812_06,5_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
negtracker,101812_07,5_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
negtracker,101812_08,5_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
negtracker,101812_09,5_1,female,no,asian,90,2,4,4,no,2,2,0
negtracker,101812_10,5_1,male,no,white,100,1,6,6,no,2.4,2,0
negtracker,101812_11,5_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
negtracker,102512_01,5_1,male,no,white,25,2,4,4,no,2.1,2,1
negtracker,102512_02,5_1,female,no,amindian,100,2,4,4,no,0.9,0,4
negtracker,102512_03,5_1,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1,0
negtracker,102512_04,5_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
negtracker,102512_05,5_1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
negtracker,102512_06,5_1,male,no,white,100,1,4,4,yes,1.1,1,0
negtracker,102512_07,5_1,male,no,asian,100,1,4,4,no,1.7,1,0
negtracker,102512_08,5_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
negtracker,102512_09,5_1,female,yes,NA,50,2,4,6,no,1.4,1,1
negtracker,102512_10,5_1,male,no,white,100,1,4,4,yes,2.4,2,0
negtracker,102512_11,5_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
negtracker,110112_01,5_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
negtracker,110112_02,5_2,male,no,white,5,3,6,6,no,2.1,2,1
negtracker,110112_03,5_2,male,no,white,25,2,6,6,yes,2.4,2,1
negtracker,110112_04,5_2,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1
negtracker,110112_05,5_2,female,no,asian,50,3,4,6,no,1.9,1,1
negtracker,110112_06,5_2,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1,3
negtracker,110112_07,5_2,male,yes,other,100,3,4,3,no,1.5,1,0
